"filename", "language", "C++", "GLSL", "Properties", "CMake", "XML", "C", "Markdown", "YAML", "Objective-C++", "Batch", "Makefile", "HTML", "Shell Script", "Groovy", "CSS", "Objective-C", "SCSS", "JavaScript", "comment", "blank", "total"
"/Users/adam/Dev/Apophenia/CMakelists.txt", "CMake", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 43
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_1.xml", "XML", 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 335
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_10.xml", "XML", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 150
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_11.xml", "XML", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 13, 221
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_12.xml", "XML", 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 17, 309
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_13.xml", "XML", 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 14, 263
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_14.xml", "XML", 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 16, 319
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_15.xml", "XML", 0, 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 22, 387
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_16.xml", "XML", 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 16, 319
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_2.xml", "XML", 0, 0, 0, 0, 519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 21, 565
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_3.xml", "XML", 0, 0, 0, 0, 624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 20, 663
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_4.xml", "XML", 0, 0, 0, 0, 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 437
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_5.xml", "XML", 0, 0, 0, 0, 578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 613
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_6.xml", "XML", 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 10, 349
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_7.xml", "XML", 0, 0, 0, 0, 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 413
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_8.xml", "XML", 0, 0, 0, 0, 540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 573
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_8point2.xml", "XML", 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 10, 404
"/Users/adam/Dev/Apophenia/Dialogue/Conversation_9.xml", "XML", 0, 0, 0, 0, 623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 658
"/Users/adam/Dev/Apophenia/Dialogue/DefaultWordBank.xml", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/adam/Dev/Apophenia/Dialogue/DialogueProgression.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 25
"/Users/adam/Dev/Apophenia/Dialogue/TestDialogue.xml", "XML", 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 260
"/Users/adam/Dev/Apophenia/Dialogue/TherapistWordBank.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/adam/Dev/Apophenia/Dialogue/WordBank1.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
